iter	Passed	Remaining
0	2	202
1	3	176
2	5	168
3	6	154
4	8	166
5	9	156
6	12	162
7	14	161
8	15	153
9	16	145
10	17	144
11	20	147
12	22	150
13	24	151
14	27	154
15	28	150
16	30	149
17	33	152
18	35	151
19	37	151
20	39	149
21	42	150
22	44	149
23	46	148
24	49	147
25	51	145
26	53	144
27	55	143
28	57	140
29	59	138
30	61	136
31	63	134
32	64	131
33	66	128
34	67	126
35	69	123
36	70	120
37	72	117
38	73	114
39	74	111
40	76	109
41	76	105
42	78	103
43	79	101
44	80	98
45	82	96
46	83	94
47	85	92
48	86	90
49	88	88
50	89	85
51	90	83
52	91	81
53	92	78
54	93	76
55	94	74
56	95	71
57	96	69
58	97	68
59	99	66
60	100	64
61	101	62
62	102	60
63	103	58
64	104	56
65	105	54
66	106	52
67	107	50
68	108	48
69	109	46
70	110	44
71	110	43
72	112	41
73	113	39
74	114	38
75	115	36
76	116	34
77	117	33
78	118	31
79	118	29
80	119	28
81	120	26
82	122	24
83	123	23
84	124	21
85	125	20
86	126	18
87	127	17
88	128	15
89	129	14
90	130	12
91	131	11
92	133	10
93	134	8
94	135	7
95	136	5
96	137	4
97	138	2
98	139	1
99	140	0
